State,Month,Price,Commodity
Delhi,Oct-09,22.1,Rice
Gujarat,Oct-09,16.29,Rice
Himachal Pradesh,Oct-09,25,Rice
Jammu and Kashmir,Oct-09,21.07,Rice
Jharkhand,Oct-09,15.43,Rice
Karnataka,Oct-09,17.57,Rice
Kerala,Oct-09,23,Rice
Madhya Pradesh,Oct-09,16.19,Rice
Maharashtra,Oct-09,19.24,Rice
Meghalaya,Oct-09,15,Rice
Mizoram,Oct-09,19,Rice
Nagaland,Oct-09,16,Rice
Odisha,Oct-09,15.9,Rice
Punjab,Oct-09,17.5,Rice
Rajasthan,Oct-09,18,Rice
Tamil Nadu,Oct-09,22,Rice
Telangana,Oct-09,18,Rice
Tripura,Oct-09,16.1,Rice
Uttar Pradesh,Oct-09,16,Rice
Uttarakhand,Oct-09,15.9,Rice
West Bengal,Oct-09,14.29,Rice
Assam,Nov-09,15.6,Rice
Bihar,Nov-09,12.25,Rice
Chandigarh,Nov-09,20,Rice
Chhattisgarh,Nov-09,16.9,Rice
Delhi,Nov-09,22.3,Rice
Gujarat,Nov-09,20.85,Rice
Himachal Pradesh,Nov-09,25,Rice
Jammu and Kashmir,Nov-09,21.5,Rice
Jharkhand,Nov-09,14,Rice
Karnataka,Nov-09,32.5,Rice
Kerala,Nov-09,23,Rice
Madhya Pradesh,Nov-09,16.9,Rice
Maharashtra,Nov-09,19,Rice
Meghalaya,Nov-09,15.8,Rice
Mizoram,Nov-09,19,Rice
Nagaland,Nov-09,16,Rice
Odisha,Nov-09,16,Rice
Punjab,Nov-09,17.5,Rice
Rajasthan,Nov-09,18,Rice
Tamil Nadu,Nov-09,20.8,Rice
Telangana,Nov-09,18.4,Rice
Tripura,Nov-09,17,Rice
Uttar Pradesh,Nov-09,16,Rice
Uttarakhand,Nov-09,16,Rice
West Bengal,Nov-09,14.9,Rice
Assam,Dec-09,15.67,Rice
Bihar,Dec-09,13.24,Rice
Chandigarh,Dec-09,20,Rice
Chhattisgarh,Dec-09,19,Rice
Delhi,Dec-09,23,Rice
Gujarat,Dec-09,24.33,Rice
Himachal Pradesh,Dec-09,25,Rice
Jammu and Kashmir,Dec-09,20.93,Rice
Jharkhand,Dec-09,14.38,Rice
Karnataka,Dec-09,32.48,Rice
Kerala,Dec-09,25.95,Rice
Madhya Pradesh,Dec-09,17.33,Rice
Maharashtra,Dec-09,19.24,Rice
Meghalaya,Dec-09,16,Rice
Mizoram,Dec-09,19,Rice
Nagaland,Dec-09,16,Rice
Odisha,Dec-09,15.76,Rice
Punjab,Dec-09,17.36,Rice
Rajasthan,Dec-09,18,Rice
Tamil Nadu,Dec-09,22,Rice
Telangana,Dec-09,19,Rice
Tripura,Dec-09,17,Rice
Uttar Pradesh,Dec-09,16,Rice
Uttarakhand,Dec-09,16,Rice
West Bengal,Dec-09,15.33,Rice
Assam,Jan-10,16,Rice
Bihar,Jan-10,14,Rice
Chandigarh,Jan-10,20,Rice
Chhattisgarh,Jan-10,19,Rice
Delhi,Jan-10,23,Rice
Gujarat,Jan-10,21.75,Rice
Himachal Pradesh,Jan-10,25,Rice
Jammu and Kashmir,Jan-10,20.75,Rice
Jharkhand,Jan-10,16,Rice
Karnataka,Jan-10,35.75,Rice
Kerala,Jan-10,25,Rice
Madhya Pradesh,Jan-10,17.05,Rice
Maharashtra,Jan-10,18.85,Rice
Meghalaya,Jan-10,16,Rice
Mizoram,Jan-10,19.8,Rice
Nagaland,Jan-10,16.05,Rice
Odisha,Jan-10,16,Rice
Punjab,Jan-10,17,Rice
Rajasthan,Jan-10,19.3,Rice
Tamil Nadu,Jan-10,22,Rice
Telangana,Jan-10,19,Rice
Tripura,Jan-10,17.05,Rice
Uttar Pradesh,Jan-10,16,Rice
Uttarakhand,Jan-10,16,Rice
West Bengal,Jan-10,17.9,Rice
Assam,Feb-10,16,Rice
Bihar,Feb-10,14,Rice
Chandigarh,Feb-10,20,Rice
Chhattisgarh,Feb-10,19,Rice
Delhi,Feb-10,23,Rice
Gujarat,Feb-10,17.45,Rice
Himachal Pradesh,Feb-10,25,Rice
Jammu and Kashmir,Feb-10,21,Rice
Jharkhand,Feb-10,14.7,Rice
Karnataka,Feb-10,32.05,Rice
Kerala,Feb-10,23.5,Rice
Madhya Pradesh,Feb-10,18,Rice
Maharashtra,Feb-10,20.15,Rice
Meghalaya,Feb-10,16,Rice
Mizoram,Feb-10,21,Rice
Nagaland,Feb-10,17,Rice
Odisha,Feb-10,15.9,Rice
Punjab,Feb-10,17,Rice
Rajasthan,Feb-10,20,Rice
Tamil Nadu,Feb-10,21.8,Rice
Telangana,Feb-10,17.9,Rice
Tripura,Feb-10,18,Rice
Uttar Pradesh,Feb-10,16,Rice
Uttarakhand,Feb-10,16,Rice
West Bengal,Feb-10,18,Rice
Assam,Mar-10,16.11,Rice
Bihar,Mar-10,14.5,Rice
Chandigarh,Mar-10,20,Rice
Chhattisgarh,Mar-10,19,Rice
Delhi,Mar-10,23,Rice
Gujarat,Mar-10,17,Rice
Himachal Pradesh,Mar-10,25.3,Rice
Jammu and Kashmir,Mar-10,23.63,Rice
Jharkhand,Mar-10,14.75,Rice
Karnataka,Mar-10,18.06,Rice
Kerala,Mar-10,22.95,Rice
Madhya Pradesh,Mar-10,17.18,Rice
Maharashtra,Mar-10,19.79,Rice
Meghalaya,Mar-10,16,Rice
Mizoram,Mar-10,21,Rice
Nagaland,Mar-10,17,Rice
Odisha,Mar-10,15.59,Rice
Punjab,Mar-10,17,Rice
Rajasthan,Mar-10,21.63,Rice
Tamil Nadu,Mar-10,20,Rice
Telangana,Mar-10,17.9,Rice
Tripura,Mar-10,18,Rice
Uttar Pradesh,Mar-10,16.3,Rice
Uttarakhand,Mar-10,16,Rice
West Bengal,Mar-10,17.44,Rice
Andhra Pradesh,Apr-10,17,Rice
Assam,Apr-10,16,Rice
Bihar,Apr-10,17,Rice
Chhattisgarh,Apr-10,19,Rice
Delhi,Apr-10,23.2,Rice
Gujarat,Apr-10,17.38,Rice
Himachal Pradesh,Apr-10,26.85,Rice
Jammu and Kashmir,Apr-10,24,Rice
Karnataka,Apr-10,18,Rice
Kerala,Apr-10,21,Rice
Madhya Pradesh,Apr-10,17,Rice
Maharashtra,Apr-10,19.3,Rice
Meghalaya,Apr-10,16,Rice
Mizoram,Apr-10,18,Rice
Odisha,Apr-10,15,Rice
Rajasthan,Apr-10,22,Rice
Tamil Nadu,Apr-10,19.91,Rice
Telangana,Apr-10,18.7,Rice
Tripura,Apr-10,18,Rice
Uttar Pradesh,Apr-10,15.03,Rice
Uttarakhand,Apr-10,15,Rice
West Bengal,Apr-10,17.74,Rice
Andhra Pradesh,May-10,17,Rice
Assam,May-10,16,Rice
Bihar,May-10,17,Rice
Chhattisgarh,May-10,19,Rice
Delhi,May-10,22.3,Rice
Gujarat,May-10,17.57,Rice
Himachal Pradesh,May-10,27,Rice
Jammu and Kashmir,May-10,23.1,Rice
Karnataka,May-10,17.68,Rice
Kerala,May-10,21.95,Rice
Madhya Pradesh,May-10,17,Rice
Maharashtra,May-10,19.56,Rice
Meghalaya,May-10,16.75,Rice
Nagaland,May-10,18,Rice
Odisha,May-10,15.41,Rice
Punjab,May-10,17.58,Rice
Rajasthan,May-10,22,Rice
Tamil Nadu,May-10,20.07,Rice
Telangana,May-10,18.5,Rice
Tripura,May-10,18,Rice
Uttar Pradesh,May-10,15,Rice
Uttarakhand,May-10,15,Rice
West Bengal,May-10,18,Rice
Andhra Pradesh,Jun-10,17,Rice
Assam,Jun-10,16.76,Rice
Bihar,Jun-10,17,Rice
Chhattisgarh,Jun-10,19,Rice
Delhi,Jun-10,22,Rice
Gujarat,Jun-10,18.5,Rice
Himachal Pradesh,Jun-10,27,Rice
Jammu and Kashmir,Jun-10,22.5,Rice
Jharkhand,Jun-10,17,Rice
Karnataka,Jun-10,18,Rice
Kerala,Jun-10,22.14,Rice
Madhya Pradesh,Jun-10,17.32,Rice
Maharashtra,Jun-10,19.55,Rice
Meghalaya,Jun-10,17.36,Rice
Nagaland,Jun-10,18,Rice
Odisha,Jun-10,16,Rice
Punjab,Jun-10,17.45,Rice
Rajasthan,Jun-10,22,Rice
Tamil Nadu,Jun-10,20.02,Rice
Telangana,Jun-10,18.95,Rice
Tripura,Jun-10,18.82,Rice
Uttar Pradesh,Jun-10,15,Rice
Uttarakhand,Jun-10,15,Rice
West Bengal,Jun-10,18.32,Rice
Andhra Pradesh,Jul-10,17.77,Rice
Assam,Jul-10,17,Rice
Bihar,Jul-10,18,Rice
Chandigarh,Jul-10,15.4,Rice
Chhattisgarh,Jul-10,19,Rice
Delhi,Jul-10,22,Rice
Gujarat,Jul-10,19.5,Rice
Himachal Pradesh,Jul-10,27,Rice
Jammu and Kashmir,Jul-10,23,Rice
Jharkhand,Jul-10,15,Rice
Karnataka,Jul-10,19,Rice
Kerala,Jul-10,24,Rice
Madhya Pradesh,Jul-10,19.23,Rice
Maharashtra,Jul-10,19.68,Rice
Meghalaya,Jul-10,18.05,Rice
Nagaland,Jul-10,19,Rice
Odisha,Jul-10,16.73,Rice
Punjab,Jul-10,18.05,Rice
Rajasthan,Jul-10,22,Rice
Tamil Nadu,Jul-10,20.05,Rice
Telangana,Jul-10,19.32,Rice
Tripura,Jul-10,19.91,Rice
Uttar Pradesh,Jul-10,15,Rice
Uttarakhand,Jul-10,15,Rice
West Bengal,Jul-10,19.68,Rice
Andhra Pradesh,Aug-10,18,Rice
Assam,Aug-10,17,Rice
Bihar,Aug-10,19.77,Rice
Chandigarh,Aug-10,16.62,Rice
Chhattisgarh,Aug-10,19,Rice
Delhi,Aug-10,22.18,Rice
Gujarat,Aug-10,18.23,Rice
Himachal Pradesh,Aug-10,27,Rice
Jammu and Kashmir,Aug-10,23,Rice
Karnataka,Aug-10,20,Rice
Kerala,Aug-10,25.55,Rice
Madhya Pradesh,Aug-10,19.36,Rice
Maharashtra,Aug-10,20.14,Rice
Meghalaya,Aug-10,19,Rice
Mizoram,Aug-10,18,Rice
Nagaland,Aug-10,18.8,Rice
Odisha,Aug-10,17,Rice
Punjab,Aug-10,17.98,Rice
Rajasthan,Aug-10,22,Rice
Tamil Nadu,Aug-10,20.55,Rice
Telangana,Aug-10,19,Rice
Tripura,Aug-10,20,Rice
Uttar Pradesh,Aug-10,15,Rice
Uttarakhand,Aug-10,15,Rice
West Bengal,Aug-10,20,Rice
Andhra Pradesh,Sep-10,18,Rice
Arunachal pradesh,Sep-10,22,Rice
Assam,Sep-10,17,Rice
Bihar,Sep-10,21.49,Rice
Chandigarh,Sep-10,22,Rice
Chhattisgarh,Sep-10,19,Rice
Delhi,Sep-10,22.76,Rice
Gujarat,Sep-10,16.53,Rice
Haryana,Sep-10,19,Rice
Himachal Pradesh,Sep-10,24.24,Rice
Jammu and Kashmir,Sep-10,23,Rice
Karnataka,Sep-10,19.75,Rice
Kerala,Sep-10,26,Rice
Madhya Pradesh,Sep-10,17.67,Rice
Maharashtra,Sep-10,20.34,Rice
Meghalaya,Sep-10,19,Rice
Mizoram,Sep-10,18,Rice
Nagaland,Sep-10,18,Rice
Odisha,Sep-10,17.97,Rice
Punjab,Sep-10,17.74,Rice
Rajasthan,Sep-10,22.1,Rice
Tamil Nadu,Sep-10,20.66,Rice
Telangana,Sep-10,19,Rice
Tripura,Sep-10,20,Rice
Uttar Pradesh,Sep-10,15.14,Rice
Uttarakhand,Sep-10,15,Rice
West Bengal,Sep-10,20.38,Rice
Andhra Pradesh,Oct-10,18,Rice
Arunachal pradesh,Oct-10,24,Rice
Assam,Oct-10,17,Rice
Bihar,Oct-10,21.45,Rice
Chandigarh,Oct-10,22,Rice
Chhattisgarh,Oct-10,19.45,Rice
Delhi,Oct-10,22.4,Rice
Gujarat,Oct-10,16.5,Rice
Haryana,Oct-10,19.27,Rice
Himachal Pradesh,Oct-10,24,Rice
Jammu and Kashmir,Oct-10,22.69,Rice
Jharkhand,Oct-10,18,Rice
Karnataka,Oct-10,20.6,Rice
Kerala,Oct-10,26.65,Rice
Madhya Pradesh,Oct-10,17.95,Rice
Maharashtra,Oct-10,20.2,Rice
Meghalaya,Oct-10,19,Rice
Nagaland,Oct-10,18.05,Rice
Odisha,Oct-10,18.57,Rice
Punjab,Oct-10,18.19,Rice
Rajasthan,Oct-10,23.53,Rice
Tamil Nadu,Oct-10,20.8,Rice
Telangana,Oct-10,19,Rice
Tripura,Oct-10,20,Rice
Uttar Pradesh,Oct-10,15,Rice
Uttarakhand,Oct-10,15,Rice
West Bengal,Oct-10,19.69,Rice
Andhra Pradesh,Nov-10,18,Rice
Arunachal pradesh,Nov-10,24,Rice
Assam,Nov-10,17,Rice
Bihar,Nov-10,21.5,Rice
Chhattisgarh,Nov-10,19.3,Rice
Delhi,Nov-10,23,Rice
Gujarat,Nov-10,16.82,Rice
Haryana,Nov-10,19.48,Rice
Himachal Pradesh,Nov-10,24.05,Rice
Jammu and Kashmir,Nov-10,22.56,Rice
Jharkhand,Nov-10,18,Rice
Karnataka,Nov-10,22.7,Rice
Kerala,Nov-10,28.3,Rice
Madhya Pradesh,Nov-10,18.1,Rice
Maharashtra,Nov-10,20.32,Rice
Meghalaya,Nov-10,19,Rice
Mizoram,Nov-10,18,Rice
Nagaland,Nov-10,18,Rice
Odisha,Nov-10,18.67,Rice
Punjab,Nov-10,17.44,Rice
Rajasthan,Nov-10,23.21,Rice
Tamil Nadu,Nov-10,21.43,Rice
Telangana,Nov-10,19.15,Rice
Tripura,Nov-10,20,Rice
Uttar Pradesh,Nov-10,15,Rice
Uttarakhand,Nov-10,15,Rice
West Bengal,Nov-10,19.55,Rice
Andhra Pradesh,Dec-10,18,Rice
Arunachal pradesh,Dec-10,24,Rice
Assam,Dec-10,16.82,Rice
Bihar,Dec-10,21.66,Rice
Chandigarh,Dec-10,25,Rice
Chhattisgarh,Dec-10,19,Rice
Delhi,Dec-10,23,Rice
Gujarat,Dec-10,17.75,Rice
Haryana,Dec-10,19.14,Rice
Himachal Pradesh,Dec-10,24,Rice
Jammu and Kashmir,Dec-10,23.79,Rice
Jharkhand,Dec-10,18,Rice
Karnataka,Dec-10,22.17,Rice
Kerala,Dec-10,28.5,Rice
Madhya Pradesh,Dec-10,18.2,Rice
Maharashtra,Dec-10,19.61,Rice
Meghalaya,Dec-10,18.73,Rice
Mizoram,Dec-10,18,Rice
Nagaland,Dec-10,17.36,Rice
Odisha,Dec-10,18.79,Rice
Punjab,Dec-10,17.93,Rice
Rajasthan,Dec-10,24.55,Rice
Tamil Nadu,Dec-10,21.94,Rice
Telangana,Dec-10,19.14,Rice
Tripura,Dec-10,18.36,Rice
Uttar Pradesh,Dec-10,14.94,Rice
Uttarakhand,Dec-10,15,Rice
West Bengal,Dec-10,19.14,Rice
Andhra Pradesh,Jan-11,18,Rice
Arunachal pradesh,Jan-11,24,Rice
Assam,Jan-11,15,Rice
Bihar,Jan-11,21.68,Rice
Chhattisgarh,Jan-11,19,Rice
Delhi,Jan-11,23,Rice
Gujarat,Jan-11,16.5,Rice
Haryana,Jan-11,19,Rice
Himachal Pradesh,Jan-11,24,Rice
Jammu and Kashmir,Jan-11,25.65,Rice
Jharkhand,Jan-11,18,Rice
Karnataka,Jan-11,19.71,Rice
Kerala,Jan-11,27.62,Rice
Madhya Pradesh,Jan-11,19,Rice
Maharashtra,Jan-11,19.37,Rice
Meghalaya,Jan-11,18,Rice
Mizoram,Jan-11,18,Rice
Nagaland,Jan-11,17.58,Rice
Odisha,Jan-11,18.96,Rice
Punjab,Jan-11,20.03,Rice
Rajasthan,Jan-11,24.07,Rice
Tamil Nadu,Jan-11,21.7,Rice
Telangana,Jan-11,19.11,Rice
Tripura,Jan-11,17,Rice
Uttar Pradesh,Jan-11,14.78,Rice
Uttarakhand,Jan-11,15,Rice
West Bengal,Jan-11,19.45,Rice
Andhra Pradesh,Feb-11,18,Rice
Arunachal pradesh,Feb-11,24,Rice
Assam,Feb-11,15.33,Rice
Bihar,Feb-11,21.74,Rice
Chhattisgarh,Feb-11,19,Rice
Delhi,Feb-11,23.21,Rice
Gujarat,Feb-11,16.5,Rice
Haryana,Feb-11,19,Rice
Himachal Pradesh,Feb-11,23.84,Rice
Jammu and Kashmir,Feb-11,24.5,Rice
Jharkhand,Feb-11,18,Rice
Karnataka,Feb-11,20.53,Rice
Kerala,Feb-11,27.5,Rice
Madhya Pradesh,Feb-11,19.32,Rice
Maharashtra,Feb-11,19.24,Rice
Meghalaya,Feb-11,18,Rice
Mizoram,Feb-11,18,Rice
Nagaland,Feb-11,16.68,Rice
Odisha,Feb-11,18.67,Rice
Punjab,Feb-11,19,Rice
Rajasthan,Feb-11,23,Rice
Tamil Nadu,Feb-11,21.16,Rice
Telangana,Feb-11,19.58,Rice
Tripura,Feb-11,18.37,Rice
Uttar Pradesh,Feb-11,14.96,Rice
Uttarakhand,Feb-11,15.26,Rice
West Bengal,Feb-11,19.26,Rice
Andhra Pradesh,Mar-11,18,Rice
Arunachal pradesh,Mar-11,24,Rice
Assam,Mar-11,16.55,Rice
Bihar,Mar-11,22,Rice
Chhattisgarh,Mar-11,19,Rice
Delhi,Mar-11,23,Rice
Gujarat,Mar-11,16.39,Rice
Haryana,Mar-11,19,Rice
Himachal Pradesh,Mar-11,23.26,Rice
Jammu and Kashmir,Mar-11,23.59,Rice
Jharkhand,Mar-11,20.35,Rice
Karnataka,Mar-11,21.27,Rice
Kerala,Mar-11,28.27,Rice
Madhya Pradesh,Mar-11,19.5,Rice
Maharashtra,Mar-11,19.2,Rice
Meghalaya,Mar-11,18,Rice
Mizoram,Mar-11,20.55,Rice
Nagaland,Mar-11,16,Rice
Odisha,Mar-11,18.67,Rice
Rajasthan,Mar-11,21.23,Rice
Tamil Nadu,Mar-11,20.68,Rice
Telangana,Mar-11,19.86,Rice
Tripura,Mar-11,19,Rice
Uttar Pradesh,Mar-11,14.98,Rice
Uttarakhand,Mar-11,16,Rice
West Bengal,Mar-11,19.3,Rice
Andhra Pradesh,Apr-11,18,Rice
Arunachal pradesh,Apr-11,20.56,Rice
Assam,Apr-11,17.72,Rice
Bihar,Apr-11,22,Rice
Chhattisgarh,Apr-11,19,Rice
Delhi,Apr-11,23.22,Rice
Gujarat,Apr-11,16.44,Rice
Haryana,Apr-11,19,Rice
Himachal Pradesh,Apr-11,23.26,Rice
Jammu and Kashmir,Apr-11,23.5,Rice
Jharkhand,Apr-11,24.78,Rice
Karnataka,Apr-11,22.22,Rice
Kerala,Apr-11,28.06,Rice
Madhya Pradesh,Apr-11,19.81,Rice
Maharashtra,Apr-11,18.69,Rice
Meghalaya,Apr-11,18,Rice
Mizoram,Apr-11,25,Rice
Nagaland,Apr-11,16.5,Rice
Odisha,Apr-11,18.67,Rice
Rajasthan,Apr-11,20,Rice
Tamil Nadu,Apr-11,20.57,Rice
Telangana,Apr-11,19.67,Rice
Tripura,Apr-11,19,Rice
Uttar Pradesh,Apr-11,15,Rice
Uttarakhand,Apr-11,16,Rice
West Bengal,Apr-11,19.11,Rice
Andhra Pradesh,May-11,18,Rice
